,text
31,Worst experience with @Zomato @ZomatoIN
32,"@foodpandaIndia I ordered from my fav restaurant,  order  was placed 90 mins ago, driver has been 1 minute away  pe… https://t.co/cYqYLViQ9B"
33,There is no number to contact @zomato
34,@zomatocare @ZomatoIN @Zomato @swiggy_in @zomatocare your ASAP .. and its more than 2hrs..  Zomato monkeys! @ZomatoIN @Zomato
35,@hansaraman @ZomatoIN @Zomato @zomatocare We should lawyer up
36,"@BhuwaniaAkash @Zomato @ZomatoIN @BharatCourt @jagograhakjago @JagoGrahakJago_ Hey Akash, we are getting this check… https://t.co/90ycGAoy0L"
37,"@hansaraman @ZomatoIN @Zomato @zomatocare Invoke arbitration for unfair enrichment, damages, loss of food, and mental agony"
38,"@foodpandaIndia #craveparty is such a #cheatoffer.Tried ordering using the code. During payments,got failed. Now ca… https://t.co/nwxxDhwBlS"
39,@Pleng_c เอา foodpanda กูมะ ต้อง350฿ขึ้นอ่ะ ส่วนลด ฿150 https://t.co/iZcq7DJ4H1
40,@ZomatoIN waiting for my my order for almost 2 hours not received the order yet . Talked to the zomato guys no supp… https://t.co/7rxEA9UMU6
41,Swiggy/zomato delivery atrocity Vadivelu troll video | Chennai – Chennai Video https://t.co/HH536LSGEa https://t.co/RFa22FaB4p
42,"RT @Techglares: #Foodpanda Offer : 

Flat 40% Off Upto Rs.120.

Code : SAVE40

Pls RT and Share."
43,@neil_shroff @ZomatoIN @Zomato @zomatocare Essentially everything thst sounds good on a Twitter bio?
44,"@jerofire Hi, It is our endeavour to provide you with a seamless support with a satisfactory resolution. Your DM fo… https://t.co/pfUE52Blb5"
45,Perfect way to ruin your Sunday is to use @SwiggyCares. Every order is a struggle followed by random pathetic peopl… https://t.co/RZBGnt4IHp
46,FoodPanda Loot- Get Rs 200 Food Order at just Rs 50 only https://t.co/Fnf13i05YU https://t.co/BvQzXjqNo4
47,"@zomatocare i am sure u have my number .. check it on my zomato account .. id - rajan9571@gmail.com
.. your team me… https://t.co/parA2HQlCU"
48,"@inconsumerforum  complaint number #905673 is raised against @SwiggyCares Order number #1955858170. 
Thanks for del… https://t.co/vegEhCvh7W"
49,"Startup Street: India’s Answer To Amazon Go, Zomato Is Cracking The Whip, NeuroTags Is Fighting The Counterfeit Mar… https://t.co/8t40v0GqY3"
50,@Rangaprasad_KPR @iamsullar @swiggy_in @SwiggyCares @harshamjty @PoliceTamilnadu @chennaipolice_ Yes .Very true. Yd… https://t.co/Skk671A0Jw
51,"Freaking pissed with foodpanda. Experienced TWO order cancelled today, one for lunch and another for dinner now. Ev… https://t.co/f2QVC7O5lU"
52,"https://t.co/BDLe6Vma4e
You guys are millionaire because we ....And treating these guys like this won't make you ma… https://t.co/PeX1hzO85m"
53,"RT @ZomatoUAE: Check out 'Old fashioned' - a cocktail with a twist at Headlines 😎 🍹
.
For more, check out the Editor’s Notes on the restaur…"
54,"https://t.co/BDLe6Vma4e

@ZomatoIN @Zomato 
Look into this matter ...pretty serious and shameful for you guys😐😐"
55,@ankurkulkarni27 @Zomato Zomato delivers very poor quality food. We get good quality in same restaurant if we visit there insted
56,@rvelvetseulrene foodpanda! hahahaha charos.
57,RT @swiggy_in: Get 50% off on your first 3 Swiggy orders! Use code GRAB50 at checkout. Max. discount: ₹100/order. TCA.  https://t.co/bk2m2u…
58,@Zomato @ZomatoIN @zomatocare @zomato This is not done. You can not change conditions with which we have subscribed… https://t.co/TRtj36LccM
59,RT @deep__sanghvi: @Zomato @ZomatoIN @zomatocare @zomato This is not done. You can not change conditions with which we have subscribed post…
60,"@deepigoyal @Zomato Order no- 1168485461
this is horrible.. the butter chikhen is really nice and upto the mark.. b… https://t.co/rDp7NHBlJX"
61,"@ZomatoIN @Zomato Order no- 1168485461
this is horrible.. the butter chikhen is really nice and upto the mark.. but… https://t.co/RNk4Q6FaAC"
62,RT @PagluPiggu: Aajkal Youtube kholta hoon toh aisa lagta hai Zomato ki site khol raha hoon 😏
63,"@prabirkumarhal9 @deepigoyal @Zomato Kebab instead of tikka ? There's a catch.

We are getting this checked and we'… https://t.co/zcV070dyRj"
64,RT @_smollitions: waduh abg foodpanda ni terhibur aku 😂 https://t.co/5peHwe9QaF
65,"@swiggy_in @SwiggyCares 
Hi Swiggy, wrong items were delivered twice in a single day. First time I didn't complain… https://t.co/S3XmvxntSO"
66,"Treats from the #FarEast available in #Pune
Have a look at this #Review of Wok Hei, Aundh, Pune on @Zomato —… https://t.co/6uU7dBUL5M"
67,".@ZomatoIN What a pathetic services? Got a call from restaurant saying the delivery boy is unavailable! 

Ph: 78350… https://t.co/DodcOhG1sa"
68,"Foodpanda online food order Voucher 50% off + 50% Cashback
https://t.co/HaNijQXNii https://t.co/k22RtrvDRj"
69,"RT @AxisBank: That moment when you enjoy a sweet moment of solitude! 
Enjoy 20% off* on Zomato orders with Axis Bank Credit and Debit Cards…"
70,"Love checks-in on Twitter: How Zomato, OYO, Starbucks celebrated Section 377 ruling https://t.co/KBKn8llyV4"
71,"@GooglePayIndia please support Zomato Order and BookMyShow as well, thanks"
72,".@ZomatoIN @Zomato Order booked at 17:25, and its been 40 minutes! 

Is #Zomato seriously an online food app?"
73,RT @4eo: Nephew wanted a pizza at the last moment when in railway station. @swiggy delivered on the platform. #likeadream
74,RT @swiggy_in: Get 50% off on your first 3 Swiggy orders! Use code GRAB50 at checkout. Max. discount: ₹100/order. TCA.  https://t.co/bk2m2u…
75,"@foodpandaIndia ORDER ID- b4ck-47qt. Order confirmed at 5.20pm, 30 minutes was expected time but till now order has… https://t.co/gGFwmgKtCT"
76,@zomatocare @deepigoyal @Zomato When!?... It's already 2 hours gone
77,"#Foodpanda : Flat 50% Off Upto Rs.100 on all Food Orders (All Users) + 50% CB upto 50 via Phonepe

Use code : GET50… https://t.co/CQYgvLW9QW"
78,RT @MyIndianBank: Give a treat to your taste buds with delicious food from Zomato without worrying about expenses. Pay using Indian Bank Ma…
79,"RT @Amazondeals360: #Foodpanda : Flat 50% Off Upto Rs.100 on all Food Orders (All Users) + 50% CB upto 50 via Phonepe

Use code : GET50

Li…"
80,#kutumb #kutumbthali # india's biggest thali #foodie #foodbloger #foodgasm #foodlover #zomato #zomatoconnoisseur… https://t.co/jKD456UsCF
81,"RT @foodpandaIndia: Cravings can strike anytime, anywhere. 
Indulge them with foodpanda at #CraveParty, the Biggest Food Party in Town. 

S…"
82,@krishanbajaj13 We believe you have contacted foodpanda Pakistan and would request you to contact your desired coun… https://t.co/4JT3g2DZvy
83,".@Zomato @ZomatoIN This is seroius now! Even after 60 minutes no information on the food ordered. 

Please shut shops!"
84,"I opened the swiggy app to book a cab 🙂
Bcos...
Well... priorities... ☺"
85,"@dominos_india Does the picture not speak. Check my order number 155. 
35546928130213222. Order placed with Swiggy… https://t.co/z6KQXstm9x"
86,"RT @vilegenius: So @Zomato now that we can only use 1 gold per couple, are you planning to refund my membership?  I don't need it as my hus…"
87,"Have a look at this review of Pablo, Neo SOHO Mall, Tanjung Duren, Jakarta on @Zomato — https://t.co/fdgomoga6I"
88,RT @Donovan_Dman: I actually like the foodpanda and deliveroo windbreaker
89,#kutumb #kutumbthali # india's largest thali #foodie #foodbloger #foodgasm #foodlover #zomato #zomatoconnoisseur… https://t.co/UzANYliQLq
90,RT @swiggy_in: Get 50% off on your first Swiggy order! Use code BINGE50. No Minimum order value. Max. discount: ₹100/order. TCA.  https://t…
91,"RT @DoctorLFC: [Fastest food delivery companies in India]

Tied at 2nd position - 
• Swiggy
• Zomato
• Scootsy

1st - Medical interns deliv…"
92,@jiminamv foodpanda is here
93,@seemagoswami Thank you for the interesting topics you bring out to discuss... this one was great 🤗 cos I worry for… https://t.co/WR5CTiBEjr
94,@rabiulislam01 @Zomato @ZomatoIN Ohhh 😮 Just run a breaking Aston band on BTVI that’s it
95,"Wanted to foodpanda because I was too lazy to get out of the house.

But then I thought to myself, steak is best served hot on the spot."
96,"How many minutes do you want from me, foodpanda? https://t.co/bhPq2Nzvh2"
97,Thank you for reading!
98,"Hey Surties, We are now delivering LIVE Garma-Garam Dhokla, Khaman, and Locho on all 3 - Swiggy, Zomato &amp; UberEats.… https://t.co/nYJcGIK5BV"
99,@AmazingShineeee @love_aletskie28 Foodpanda na yan o kaya honestbee. Hahahaha
100,@UberEats_IND So the restaurant is using Zomato's tape even in my order through Uber Eats. https://t.co/2rF3g0rKpu
101,@syafieqaszly @foodpandasg @namirzaa_  boi foodpanda send me food pls love you
102,"SurtilalaOo, We are delivering the delicious, tasty &amp; healthly delicacies of Khaman, Dhokla &amp; Locho on Swiggy, Zoma… https://t.co/oOJrtOhJfa"
103,Wtf @ZomatoIN @zomatocare order booked via @BehrouzBiryani which shows delivery and then post order calls to cancel… https://t.co/G71dHuOZaV
104,"It’s a pasta kind of day for us!
Order now
Zomato : https://t.co/stN4oJZwcL
Uber Eats: https://t.co/8VdimW8PGd
Tala… https://t.co/5ALpPZTATt"
105,"@foodpandaIndia no wonder #foodpanda is giving out discounts, they cannot sustain competition #swiggy &amp; #ubereats s… https://t.co/fH1e4QHIuc"
106,@devellix It's on Swiggy. Free delivery over 99.
107,"SurtilalaOo, We are delivering the delicious, tasty &amp; healthly delicacies of Khaman, Dhokla &amp; Locho on Swiggy, Zoma… https://t.co/5fHTn8ANfw"
108,"@meghanakotian Hi, It is our endeavour to provide you with a seamless support with a satisfactory resolution. Your… https://t.co/76FGKTvshu"
109,Trying to order food from @UberEats. Verification failing from 2 days. had to order it from @swiggy_in  zomoto:0 swiggy:1
110,And that’s how trust is lost @Zomato  was in the middle of making a payment for an online delivery and get this - s… https://t.co/7Ms3KbzP8U
111,RT @_smollitions: waduh abg foodpanda ni terhibur aku 😂 https://t.co/5peHwe9QaF
112,"@sethi1810 @Zomato @swiggy_in Hey Abhishek, this sounds quite strange.

Kindly share your order details and we shal… https://t.co/HVgFmESUOM"
113,I liked a @YouTube video https://t.co/7OBZv48KW9 Flavours That Unite Us | foodpanda Malaysia Merdeka 2017
114,Get ur order delivered by swiggy.....download the app
115,"Get amzing discount at foodpanda food.😎 
#foodpanda #food #Foodie #Foodies #foodlovers #foodcoupons #discount… https://t.co/RVkkq5E4fo"
116,"#FoodPanda : Dessert @ Rs.9 only, no delivery charge. (Hyderabad)

Use code : NINE (offer ends today)

Link : https://t.co/4I57vsq6sa"
117,RT @swiggy_in: Get 50% off on your first Swiggy order! Use code BINGE50. No Minimum order value. Max. discount: ₹100/order. TCA.  https://t…
118,@Zomato @zomatocare @ZomatoIN u guys fool with some https://t.co/bAr7QHSPd7 been more than 1hr and the food is not… https://t.co/1kifbLWy7o
119,"@djyadav @Zomato @ZomatoIN Hi there, kindly share your order details and we shall get this checked ASAP!
-AM"
120,@zomatocare @Zomato @ZomatoIN 1585856078
121,Foodpanda - mcd - settled.
122,@zomatocare @Zomato @ZomatoIN This is the order I’d 1585856078
123,"@SwiggyCares Everytime I order from Swiggy, I literally regret. Bullshit Service. It's already been 1.5 hours and n… https://t.co/ejZoVqcQfL"
124,"Seems like @FoodPanda @foodpandaIndia is promoting their problem with 9 rs deals. I ordered, and I received, and th… https://t.co/BcD7MViALq"
125,"RT @ChhatrabhujPaul: People, please don't order anything from @foodpandaIndia 
As I have ordered 2 shakes from @Keventersshake but they are…"
126,@SwiggyCares @swiggy_in  The service has been degraded. Now We should all look for other options guys. If you are i… https://t.co/G0MDUAlGuj
127,"#StartUpStreet | Zomato cracks the whip.
@MahimaKapoor12 @azmanusmani 

Read more: https://t.co/CMBksnyphY https://t.co/Fnhuxw2w5V"
128,RT @_smollitions: waduh abg foodpanda ni terhibur aku 😂 https://t.co/5peHwe9QaF
129,Thanks @Zomato @ZomatoIN for timely delivery of food and delicious too
130,Wow mcd cyber dah boleh delivery. Tapi guna foodpanda 😂
131,No reply still. #foodpanda looks like u don wanna survive for long in d market. Horrible customer service!
132,"@SwiggyCares Issue resolved.
My trust in swiggy reinstated.
But yes you need to do something of the delivery boys.… https://t.co/UH5oqZ4wgm"
133,"Abang: Awak diet ke, Qish?

Me: Eh, tak lah. Adik dah makan dah tadi kat rumah, order FoodPanda.

Ayah: Tak elok se… https://t.co/B53egdz91Q"
134,"Missed an item ordered through swiggy (#19573896727), missed an item. Called customer care, solved issue like a pro… https://t.co/UBO5JPijPR"
135,"@NJKTiwari @Zomato @ZomatoIN Haha not needed now, food delivered at 18:00 hours.

Just be little considerable and w… https://t.co/V30h2dzVJF"
136,"@ZomatoIN 

Zomato Team, are your servers down?"
137,"Don't forget to check our menu, special buffets and events on Zomato when you decide to drop by. It would be great… https://t.co/zJ0nmRYLAj"
138,"Here's my review of Big Yellow Door, Vijay Nagar on @Zomato! 
https://t.co/43z5298FrE

#foodie #zomato"
139,@BarbequeNation: rude and uninterested staff sharing ambiguous info at bbqntn Pune deccan gymkhana branch. You have… https://t.co/vV58aiODYq
140,@Zomato @zomatocare @ZomatoIN @deepigoyal Is there a new policy on Zomato dot customers can’t cancel order with 5 m… https://t.co/FnXwrdK7Bv
141,"@ZomatoIN @Zomato I received food with foul smell .. 

Your order from Krupa Mess &amp; Tiffins is on its way. Enjoy yo… https://t.co/TeOFenGbrn"
142,@ZomatoIN @Zomato @ZomatoIN I am throwing food
143,Now it's near to 2 hours. Cannot even cancel as another ordrler would take more time. Such pathetic service.
144,"@souravlahoti @Zomato @ZomatoIN @deepigoyal Hi Sourav, we are here to help you out with this.

Kindly DM us your co… https://t.co/Yma6xvc4uh"
145,@ZomatoIN @Zomato @zomatocare @ZomatoUK 1426993174 order number. Again had to cancel order as your rider said he wi… https://t.co/dFruVXJ9Cm
146,@SwiggyCares Do you allow us to cancel order in a minute if placed a ordered incorrectly bcz @Zomato doesn’t !!
147,"@sindhutiwari @ZomatoIN @Zomato Hey Sid, we are getting this checked and we'll reach out to you ASAP!
-AM"
148,"एक बार Jambho Food से खाना ऑर्डर कर लिया तो भूल जाओगे Zomato, Swiggy! | ETVUP https://t.co/d8dqJtCSlV"
149,"@ZomatoIN 
#Lateorderdelivery#Lootlocustomer
I had very bad experience with Zomato. I made one order by userid 8708… https://t.co/LlgeXLe0WE"
150,#ZOMATO
151,@marielleelagman @idontkei Oo ata? Parang I saw lang din recently yung foodpanda
152,"RT @rabiulislam01: .@ZomatoIN What a pathetic services? Got a call from restaurant saying the delivery boy is unavailable! 

Ph: 7835021278…"
153,@ZomatoIN @Zomato @zomatocare @BurgerKing 1426993174 order number. Again had to cancel order as your rider said he… https://t.co/cr9cDAVf8a
154,Has @Zomato shut down its Treats program?
155,@ZomatoIN So with your revised nonsense unlocking restriction.. If I - the person who has paid for ZOMATO GOLD want… https://t.co/rZTJSmcBkG
156,@jasmeenGdugal @ZomatoIN @Zomato @BurgerKing Hey Man! Burgers are like love at first bite. We are reaching out to y… https://t.co/Fm8RwDKLLZ
157,@Zomato you guys are so miser that to initiate the refund process..it has been more than your tagline of 6-7 workin… https://t.co/eRDHgaE3cX
158,@Slysterr Did not click. You can probably check Zomato though
159,@zomatocare @ZomatoIN @Zomato @BurgerKing Can only bite into it if it reaches me... in this case sadly not. The ser… https://t.co/dYcYGGBSTZ
160,"@Zomato Fake hai sab  .Saale Pehle paise le kar baad mein order cancel kar dete hai. 

Saali fake app . fake servic… https://t.co/6mezGxbJAD"
161,"@zomatocare @ZomatoIN @Zomato Leave it, I always have issues when ordered from Zomato."
162,"RT @AnikGaat: @ZomatoIN 
#Lateorderdelivery#Lootlocustomer
I had very bad experience with Zomato. I made one order by userid 8708963089. Ex…"
163,@hansaraman @ZomatoIN @Zomato @zomatocare What happened
164,"RT @Techglares: #Foodpanda Offer : 

Flat 40% Off Upto Rs.120.

Code : SAVE40

Pls RT and Share."
165,Staying in 4th floor has its own charm.. You can feel the feeble tremor even! The bed shook a little.. I thought I… https://t.co/LsMJcijU1v
166,"@iamdatemike @ZomatoIN @Zomato @zomatocare From tomorrow, you can use only x/2 zomato golds at a table. Earlier, if… https://t.co/eh9JRuOgFH"
167,"@iamSunnyBhatti @Zomato Hey Sunny! We did not want you to wait so much. We are reaching out to you super soon!

-Mr. Singh"
168,Register on Swiggy with MVHIYM and earn a discount. Download on https://t.co/M2R2T4MFkZ
169,"@hansaraman @ZomatoIN @Zomato @zomatocare can they retrospectively impose those? it is a breach of contract then, no"
170,"@hansaraman @ZomatoIN @Zomato @zomatocare my contract law isn't great, but even if they have a clause in the origin… https://t.co/TUgo2K2jJ7"
171,"@anil49643010 @Zomato Hey Arnav! That sounds hurtful. Please share your details with us and we shall get this checked for you.

-Mr. Singh"
172,"Just to clarify, I usually don't complain about any organisation publicly. I understand that sometimes things go wr… https://t.co/bFyl0sFatQ"
173,"@deep__sanghvi @Zomato @ZomatoIN @zomatocare Hi Deep, We are sorry to hear this. We would like to assure you that w… https://t.co/cXEKxYd5Kc"
174,"@ZomatoIN Why should someone order from @Zomato when the dishes prices are higher than on other platform, say… https://t.co/WtJQhulLWI"
175,"@foodpandaIndia Another incident with same restaurant, order number w3xg-y6p5/1 declined by Malabar restaurant, ban… https://t.co/Q4kcN3TvnE"
176,"#foodpanda #badservice
I wasted half an hour to know the food would be delivered to me or not. Faasos never receive… https://t.co/u6QE3xaAzt"
177,"#zomato 
Thanks for your sarcasm
Part1 https://t.co/Gdpdzqrro3"
178,@zomatocare @Zomato 7419707272
179,"#zomato
Part 2 https://t.co/cPhYmCoZAA"
180,"#zomato 
Part 3 https://t.co/pTakImmRBW"
181,"RT @foodpandaIndia: Biryani for some #SundayMotivation? 
Sounds Delicious :D

Get this amazing offer only on the foodpanda app. https://t.c…"
182,@iamdatemike @ZomatoIN @Zomato @zomatocare I'm guessing they are banking on us not suing.
183,"In my opinion, one of the underrated facts of Info Edge's(https://t.co/hW9JPRgDvj) investee companies is their abil… https://t.co/lLuTLV6BX0"
184,"RT @iamaashwin: Me and my friends ordered from @foodpandaIndia application which was showing the restaurant open, so we did payment and ord…"
185,RT @harshbarot56: Really disappointed by @foodpandaIndia as I ordered the food from restaurant and we were waiting for the confirmation but…
186,"Every day, we discover a new angle to look at pizza from, and it keeps looking better every day 🍕
📷: Marie Jose via Zomato app"
187,RT @Kashish_Shine1: Staying in 4th floor has its own charm.. You can feel the feeble tremor even! The bed shook a little.. I thought I was…
188,"25rs for a restaurant 2 kms away. No wonder there are so many Swiggy delivery boys. It's easy money. 
And yeah, the… https://t.co/fCdSovP07p"
189,"Dear @Zomato @ZomatoIN @deepigoyal, you introduced fair usage policies for your partners but what about your custom… https://t.co/DwN5puRt8j"
190,Aree koi hai ya nai.. @Zomato @ZomatoIN @zomatocare https://t.co/YhfVap8nQB
191,Register on Swiggy with RG2QHA and earn Rs. 100. Download on https://t.co/DLqgs2ksEx https://t.co/iRXY1Kll6t
192,"Have a look at this review of Le Plaisir, Deccan Gymkhana on @Zomato — https://t.co/MZrtRSMutY"
193,"@Anitheking @Zomato @ZomatoIN Hey Anirudh, we are here to help you out.

Kindly DM us your contact number so that w… https://t.co/wBIk1RIniC"
194,"Here's my review of Blue Tokai Coffee Roasters, Champa Gali, Saket on @Zomato! 
https://t.co/15asUS3qjQ"
195,"RT @PEastdelhi: This is the season to indulge - Indian authentic flavours...!
Call us at +91 8285131015
#indiancuisine #flavour #foodie #zo…"
196,@zomatocare @Zomato @ZomatoIN 9717030262
197,@foodpandaIndia the way Foodpanda ocks your account if you log in with 2 account on a single device you will soon b… https://t.co/14lZkeIpJL
198,@Zomato worst app I have ever seen. First they ploted auto order code in there app than they are showing order deli… https://t.co/WOJDYu6MZM
199,@Zomato @zomatocare @ZomatoIN @ZomatoSA @ZomatoUK @ZomatoUS
200,*zomato
201,Felling cheated @Zomato
202,Bites x vibes by foodpanda @ 10 amoy street. 9/9/18 https://t.co/DlOj816KPB
203,"@Himanshuarora94 @Zomato Hey Himanshu, that sound quite tangled.

Kindly share the 10-digit Zomato order ID so that… https://t.co/pDKssVvxak"
204,@zomatocare @Zomato @ZomatoIN Now anyone going to reply or not??
205,"Is #Bharatbandh applicable for drones? @harshamjty Wondering, if Swiggy has some alternative plans to deliver food tomorrow?"
206,@zomatocare @Zomato Have dm the order id
207,#Swiggy mobile team is hiring and I am looking for multiple open positions iOS &amp; RN. We are solving interesting pro… https://t.co/AToguVhqnY
208,Hello @Zomato @zomatocare @ZomatoIN - Respond Pl
209,@Anti420Abhiyan All Swiggy staff go through the viable checks before being associated with us. Please do let us kno… https://t.co/tVepbf03dM
210,@Zomato @dominos_india order no. 1082352460. 2 medium pizzas and only 3 oregano sachets... Pls start charging for t… https://t.co/78McDx5XSm
211,Register on Swiggy with VD8NGO and earn Rs. 100. Download on https://t.co/aDnzn3JRBI https://t.co/4MDId1IRN9
212,"RT @AbinavSeelan: @ZomatoGold @Zomato I usually dine alone or upto 3 people, all of whom have paid upfront for a Gold membership . The upda…"
213,"@SwiggyCares You were suppose to call me today, but yet you ignored. Speaks volume of your service. good luck with… https://t.co/VrlfaZYXC0"
214,@ZomatoGold worst experience! Please check the below response from Zomato and kindly check the time gap as well.fin… https://t.co/gSiskPtv4E
215,@zomatocare. Worst customer experience by Zomato gold so far.
216,"@harshamjty @nandanreddy @rahuljaimini Good luck with such a great customer support team, after waiting for hours n… https://t.co/1tH2b9ReZC"
217,Guys please use your #Zomato #Gold today ! :) https://t.co/OBUSIZPJps
218,RT @manjunath_c23: #Swiggy mobile team is hiring and I am looking for multiple open positions iOS &amp; RN. We are solving interesting problems…
219,"@zomatocare @Himanshuarora94 @Zomato @ZomatoIN @zomatocare 
R u delivering to beggers?
Order no. 1657189293
I alrea… https://t.co/LllcySGH3l"
220,"@Zomato @zomatocare @ZomatoIN you are worst service provider.
You deliver cold food and appoint a rude delivery guy… https://t.co/T82bYnaL6S"
221,@SwiggyCares So you want me to be available on the Twitter chat so that you can clear your guilt. no sir I am not a… https://t.co/r0icYxAv78
222,"Mere ko wo zomato ke delivery boy wala bag lena he, pizza ghar pe late late fatt gyi."
223,"Swiggy Food Order &amp; Delivery: Using Swiggy, you can order food and beverages… https://t.co/zGYqwlpauN @Buyscroll"
224,"@Ankind10 @Zomato @ZomatoIN Hey Ankur, apologies for the hassle over here.

Kindly share your order details and we… https://t.co/8NlMfAanns"
225,"@zomatocare @anil49643010 @Zomato @ZomatoIN @zomatocare 
R u delivering to beggers?
Order no. 1657189293
I already… https://t.co/5cgdyBGFEE"
226,@zomatocare @Zomato @ZomatoIN Have uninstalled the app dude.
227,"@zomatocare @iamSunnyBhatti @Zomato @ZomatoIN @zomatocare 
R u delivering to beggers?
Order no. 1657189293
I alread… https://t.co/1kyUbvAVlu"
228,@zomatocare @Zomato @ZomatoIN No need to check further.
229,"@zomatocare @Zomato @ZomatoIN Your cutomer care executive has already explained procedure and protocols, which i am not satisfied."
230,RT @mariasaifuddin_: Hahaha! I can't wait to save my 0.10 paise. Logging into Swiggy right away!! https://t.co/QQIrAut3N1
231,Placed and order with @foodpandaIndia . Placed another order half an hour later with @swiggy_in . Swiggy delivered… https://t.co/aTWVdwVhbG
232,"@akshaykawale @Zomato @ZomatoIN @deepigoyal Hi Akshay, we are sorry to hear this. We would like to assure you that… https://t.co/zWsPi08WNL"
233,"@Zomato @ZomatoIN @zomatocare Order ID: 1525015794
I specifically asked for Jain preparation but the food delivered… https://t.co/el5sAzNED2"
234,Advertising done right @Zomato https://t.co/OwUqTQCUKE
235,@zomatocare @Zomato @ZomatoIN +918448286574 recivied call from dis no. Guys are serious or not because your member… https://t.co/l8u16sYVxk
236,"RT @shivi1790: #McDonalds #MCD #Swiggy @mcdonaldsindia Order no. #19385265971
I was so grossed out today to see cockroach in my food.
It wa…"
237,"@vaibhav5bhai @Zomato @ZomatoIN Hi Vaibhav, we never intend to disappoint you in this way.

We are getting this che… https://t.co/WBDvrzIDkN"
238,me with swiggy ubereats and tomato all open my family loudly arguing in the background over kaju draksh havmore ice… https://t.co/X7kjOnqH2M
239,"If you are ok with giving tips to waiters in restaurant, do it for food delivery (swiggy/ubereats) guys too. They work harder than former."
240,@zomatocare  @ZomatoIN After waiting for more than 2 hours my order is cancelled. Worst service from zomato. Spoile… https://t.co/TyTV890K4O
